tau,x,y
10.1375,0.9686577348568529,0.0
10.1375,0.9861110273767962,0.0
10.1375,1.0035643198967397,0.02864788975654112
10.1375,1.0210176124166828,0.08594366926962335
10.1375,1.038470904936626,0.1718873385392489
10.1375,1.0559241974565694,0.28647889756541123
10.1375,1.0733774899765125,0.487014125861199
10.1375,1.090830782496456,0.6875493541569868
10.1375,1.1082840750163991,1.203211369774727
10.1375,1.1257373675363427,1.5183381570966794
10.1375,1.1431906600562858,2.836141085897571
10.1375,1.1606439525762293,2.864788975654112
10.1375,1.1780972450961724,4.153944014698462
10.1375,1.1955505376161157,4.81284547909897
10.1375,1.213003830136059,5.443099053742813
10.1375,1.2304571226560022,5.156620156177402
10.1375,1.2479104151759457,5.299859604960107
10.1375,1.2653637076958888,5.586338502525519
10.1375,1.2828170002158323,4.125296124941921
