corner,kind,x,y
LR LS,raw,1.056640625,0.012940254251768
LR LS,raw,1.060546875,0.0157810976779124
LR LS,raw,1.064453125,0.016660413707605
LR LS,raw,1.068359375,0.0213658553196006
LR LS,raw,1.072265625,0.0169172302183339
LR LS,raw,1.076171875,0.0204223470448506
LR LS,raw,1.080078125,0.0078187037740947
LR LS,raw,1.083984375,0.0072276927676297
LR LS,raw,1.087890625,0.0146174079621099
LR LS,raw,1.091796875,0.0078798955258449
LR LS,raw,1.095703125,0.0120262473527859
LR LS,raw,1.099609375,0.0121911673685425
LR LS,raw,1.103515625,0.016025246617411
LR LS,raw,1.107421875,0.0228560186107318
LR LS,raw,1.111328125,0.017586905604888
LR LS,raw,1.115234375,0.0205479448169856
LR LS,raw,1.119140625,0.0218458949524688
LR LS,raw,1.123046875,0.0161790511535986
LR LS,raw,1.126953125,0.0247899042885091
LR LS,raw,1.130859375,0.0190542329540169
LR LS,raw,1.134765625,0.0186476020787449
LR LS,raw,1.138671875,0.0108391258153607
LR LS,raw,1.142578125,0.0239056536482043
LR LS,raw,1.146484375,0.0222422555601156
LR LS,raw,1.150390625,0.0272435730238947
LR LS,raw,1.154296875,0.0336679672367066
LR LS,raw,1.158203125,0.0466023696996205
LR LS,raw,1.162109375,0.0565942226625976
LR LS,raw,1.166015625,0.0649401616063999
LR LS,raw,1.169921875,0.0432205218567401
LR LS,raw,1.173828125,0.0286465019159305
LR LS,raw,1.177734375,0.0235956232048235
LR LS,raw,1.181640625,0.0227642551457842
LR LS,raw,1.185546875,0.0181142074877825
LR LS,raw,1.189453125,0.0162986323350728
LR LS,raw,1.193359375,0.0186776179043274
LR LS,raw,1.197265625,0.0195803780702221
LR LS,raw,1.201171875,0.0166894184843041
LR LS,raw,1.205078125,0.0113079184934592
LR LS,raw,1.208984375,0.014912035978846
LR LS,raw,1.212890625,0.0161795926059806
LR LS,raw,1.216796875,0.0108964979353231
LR LS,raw,1.220703125,0.0139480707852478
LR LS,raw,1.224609375,0.0127939415250073
LR LS,raw,1.228515625,0.0156110084813215
LR LS,raw,1.232421875,0.0156139078960178
LR LS,raw,1.236328125,0.0122026156886135
LR LS,raw,1.240234375,0.0143807542747977
LR LS,raw,1.244140625,0.0087529520086516
LR LS,raw,1.248046875,0.0135001100312116
LR LS,raw,1.251953125,0.007197126398857
LR LS,raw,1.255859375,0.0118344709979427
LR LS,raw,1.259765625,0.0121130248632119
